comuna,postcode
Algarrobo,2710000
Alhué,9650000
Alto Biobío,4590000
Alto del Carmen,8320000
Alto Hospicio,1130000
Ancud,5710000
Andacollo,1750000
Angol,4650000
Antártica,6360000
Antofagasta,1240000
Antuco,4490000
Arauco,4360000
Arica,1000000
Aysén,6000000
Buin,9500000
Bulnes,3930000
Cabildo,2050000
Cabo de Hornos,6350000
Cabrero,8320000
Calama,1390000
Calbuco,5570000
Caldera,1570000
Calera de Tango,9560000
Calle Larga,2130000
Camarones,8320000
Camiña,1150000
Canela,8320000
Cañete,4390000
Carahue,5010000
Cartagena,2680000
Casablanca,2480000
Castro,5700000
Catemu,2230000
Cauquenes,3690000
Cerrillos,9200000
Cerro Navia,9080000
Chaitén,5850000
Chanco,8320000
Chañaral,1490000
Chépica,8320000
Chiguayante,4100000
Chile Chico,8320000
Chillán,3780000
Chillán Viejo,3820000
Chimbarongo,8320000
Cholchol,8320000
Chonchi,8320000
Cisnes,8320000
Cobquecura,8320000
Cochamó,8320000
Cochrane,8320000
Codegua,8320000
Coelemu,8320000
Coihueco,8320000
Coinco,8320000
Colbún,8320000
Colchane,8320000
Colina,9340000
Collipulli,8320000
Coltauco,8320000
Combarbalá,8320000
Concepción,4030000
Conchalí,8540000
Concón,2510000
Constitución,3560000
Contulmo,8320000
Copiapó,1530000
Coquimbo,1780000
Coronel,4190000
Corral,8320000
Coyhaique,5950000
Cunco,8320000
Curacautín,8320000
Curacaví,9630000
Curaco de Vélez,8320000
Curanilahue,4370000
Curarrehue,8320000
Curepto,8320000
Curicó,3340000
Dalcahue,5730000
Diego de Almagro,8320000
Doñihue,8320000
El Bosque,8010000
El Carmen,8320000
El Monte,9810000
El Quisco,2700000
El Tabo,2690000
Empedrado,8320000
Ercilla,8320000
Estación Central,9160000
Florida,8320000
Freire,4940000
Freirina,1630000
Fresia,8320000
Frutillar,5620000
Futaleufú,8320000
Futrono,8320000
Galvarino,8320000
General Lagos,8320000
Gorbea,8320000
Graneros,8320000
Guaitecas,8320000
Hijuelas,2310000
Hualaihué,8320000
Hualañé,8320000
Hualpén,4600000
Hualqui,8320000
Huara,1140000
Huasco,1640000
Huechuraba,8580000
Illapel,1930000
Independencia,8380000
Iquique,1100000
Isla de Maipo,9790000
Isla de Pascua,2770000
Juan Fernández,8320000
La Calera,2290000
La Cisterna,7970000
La Cruz,2280000
La Estrella,8320000
La Florida,8240000
La Granja,8780000
La Higuera,8320000
La Ligua,2030000
La Pintana,8820000
La Reina,7850000
La Serena,1700000
La Unión,5220000
Lago Ranco,8320000
Lago Verde,8320000
Laguna Blanca,8320000
Laja,8320000
Lampa,9380000
Lanco,8320000
Las Cabras,8320000
Las Condes,7550000
Lautaro,4860000
Lebu,4350000
Licantén,8320000
Limache,2240000
Linares,3580000
Litueche,8320000
Llanquihue,5610000
Llay Llay,2220000
Lo Barnechea,7690000
Lo Espejo,9120000
Lo Prado,8980000
Lolol,8320000
Loncoche,8320000
Longaví,8320000
Lonquimay,8320000
Los Álamos,8320000
Los Andes,2100000
Los Ángeles,4440000
Los Lagos,8320000
Los Muermos,8320000
Los Sauces,8320000
Los Vilos,1940000
Lota,4210000
Lumaco,8320000
Machalí,2910000
Macul,7810000
Máfil,8320000
Maipú,9250000
Malloa,8320000
Marchihue,8320000
María Elena,1360000
María Pinto,9620000
Mariquina,5160000
Maule,3530000
Maullín,8320000
Mejillones,1310000
Melipeuco,8320000
Melipilla,9580000
Molina,3380000
Monte Patria,8320000
Mostazal,8320000
Mulchén,4530000
Nacimiento,4550000
Nancagua,8320000
Natales,6160000
Navidad,8320000
Negrete,8320000
Ninhue,8320000
Nogales,2300000
Nueva Imperial,5020000
Ñiquén,8320000
Ñuñoa,7750000
O'Higgins,8320000
Olivar,8320000
Ollagüe,1420000
Olmué,2330000
Osorno,5290000
Ovalle,1840000
Padre Hurtado,9710000
Padre las Casas,4850000
Paihuano,8320000
Paillaco,8320000
Paine,9540000
Palena,8320000
Palmilla,8320000
Panguipulli,8320000
Panquehue,2210000
Papudo,8320000
Paredones,8320000
Parral,8320000
Pedro Aguirre Cerda,8460000
Pelarco,8320000
Pelluhue,8320000
Pemuco,8320000
Pencahue,8320000
Penco,4150000
Peñaflor,9750000
Peñalolén,7910000
Peralillo,8320000
Perquenco,8320000
Petorca,8320000
Peumo,8320000
Pica,1170000
Pichidegua,8320000
Pichilemu,3220000
Pinto,8320000
Pirque,9480000
Pitrufquén,4950000
Placilla,8320000
Portezuelo,8320000
Porvenir,6300000
Pozo Almonte,1180000
Primavera,8320000
Providencia,7500000
Puchuncaví,2500000
Pucón,4920000
Pudahuel,9020000
Puente Alto,8150000
Puerto Montt,5480000
Puerto Octay,8320000
Puerto Varas,5550000
Pumanque,8320000
Punitaqui,8320000
Punta Arenas,6200000
Puqueldón,8320000
Purén,8320000
Purranque,5380000
Putaendo,2190000
Putre,1070000
Puyehue,8320000
Queilén,8320000
Quellón,5790000
Quemchi,5720000
Quilaco,8320000
Quilicura,8700000
Quilleco,8320000
Quillón,3940000
Quillota,2260000
Quilpué,2430000
Quinchao,8320000
Quinta de Tilcoco,8320000
Quinta Normal,8500000
Quintero,2490000
Quirihue,4000000
Rancagua,2820000
Ránquil,8320000
Rauco,8320000
Recoleta,8420000
Renaico,8320000
Renca,8640000
Rengo,2940000
Requínoa,8320000
Retiro,8320000
Rinconada,2140000
